text,label
Completely horrible quality,0
"Worth every penny, great item",1
Very bad experience,0
"Worth every penny, impressive item",1
Absolutely wonderful experience,1
"Worst purchase, worst quality",0
Totally poor and disappointing,0
"Worth every penny, great item",1
"Highly recommend, very excellent",1
This product is terrible,0
I am very happy with this great product,1
This product is amazing,1
"Loved it, amazing quality",1
"Worth every penny, excellent item",1
Very awful experience,0
Extremely fantastic and useful,1
Completely awful quality,0
"Loved it, outstanding quality",1
"Waste of money, very worst",0
I am very happy with this excellent product,1
"Highly recommend, very impressive",1
Absolutely wonderful experience,1
"Worst purchase, horrible quality",0
Very cheap experience,0
"Worst purchase, awful quality",0
Totally poor and disappointing,0
Totally awful and disappointing,0
Totally worst and disappointing,0
"Loved it, superb quality",1
"Great purchase, very great",1
"Waste of money, very worst",0
Absolutely outstanding experience,1
Extremely cheap product,0
Extremely fantastic and useful,1
Completely bad quality,0
This product is impressive,1
"Waste of money, very horrible",0
Very terrible experience,0
"Waste of money, very bad",0
"Great purchase, very excellent",1
"Worth every penny, fantastic item",1
This product is broken,0
Completely broken quality,0
"Waste of money, very worst",0
Extremely worst product,0
This product is great,1
Totally broken and disappointing,0
This product is perfect,1
"Waste of money, very disappointing",0
"I regret buying this, very horrible",0
"I regret buying this, very bad",0
Completely awful quality,0
"Loved it, perfect quality",1
Extremely awful product,0
I am very happy with this awesome product,1
"Loved it, fantastic quality",1
"Waste of money, very horrible",0
This product is perfect,1
Very cheap experience,0
Completely disappointing quality,0
"Great purchase, very impressive",1
I am very happy with this perfect product,1
This product is horrible,0
Totally cheap and disappointing,0
Completely horrible quality,0
"Worst purchase, useless quality",0
This product is great,1
"Waste of money, very disappointing",0
"Worth every penny, awesome item",1
"Worst purchase, bad quality",0
"Great purchase, very amazing",1
This product is perfect,1
Absolutely great experience,1
Totally disappointing and disappointing,0
This product is disappointing,0
This product is awful,0
This product is bad,0
Completely worst quality,0
Absolutely wonderful experience,1
"I regret buying this, very awful",0
Very cheap experience,0
